Time: 1672011846, Process: motor_x, Log message: motor_x1672011846
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_x, Log message: motor_x
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_x, Log message: motor_x
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_x, Log message: motor_x
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011846, Process: command, Log message: no update
Time: 1672011846, Process: motor_x, Log message: motor_x
Time: 1672011846, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_x, Log message: motor_x1672011847
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_x, Log message: motor_x
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_x, Log message: motor_x
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_x, Log message: motor_x
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_x, Log message: motor_x
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_x, Log message: motor_x1672011847
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: resize screen
Time: 1672011847, Process: command, Log message: resize screen
Time: 1672011847, Process: motor_x, Log message: motor_x
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: resize screen
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: resize screen
Time: 1672011847, Process: motor_x, Log message: motor_x
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: resize screen
Time: 1672011847, Process: motor_x, Log message: motor_x
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_x, Log message: motor_x
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_x, Log message: motor_x
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_x, Log message: motor_x1672011847
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_x, Log message: motor_x
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_x, Log message: motor_x
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_x, Log message: motor_x
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_x, Log message: motor_x
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_x, Log message: motor_x
Time: 1672011847, Process: motor_z, Log message: motor_z
Time: 1672011847, Process: command, Log message: no update
Time: 1672011847, Process: motor_x, Log message: motor_x
Time: 1672011848, Process: motor_z, Log message: motor_z
Time: 1672011848, Process: command, Log message: no update
Time: 1672011848, Process: motor_z, Log message: motor_z
Time: 1672011848, Process: command, Log message: no update
Time: 1672011848, Process: motor_x, Log message: motor_x
Time: 1672011848, Process: motor_z, Log message: motor_z
Time: 1672011848, Process: command, Log message: no update
Time: 1672011848, Process: motor_x, Log message: motor_x
Time: 1672011848, Process: motor_z, Log message: motor_z
Time: 1672011848, Process: command, Log message: Vx increase button pressed
Time: 1672011848, Process: motor_x, Log message: motor_x
Time: 1672011848, Process: motor_z, Log message: motor_z
Time: 1672011848, Process: command, Log message: no update
Time: 1672011848, Process: motor_z, Log message: motor_z
Time: 1672011848, Process: command, Log message: no update
Time: 1672011848, Process: motor_x, Log message: motor_x
Time: 1672011848, Process: motor_z, Log message: motor_z
Time: 1672011848, Process: command, Log message: no update
Time: 1672011848, Process: motor_x, Log message: motor_x
Time: 1672011848, Process: motor_z, Log message: motor_z
Time: 1672011848, Process: command, Log message: no update
Time: 1672011848, Process: motor_x, Log message: motor_x
Time: 1672011848, Process: motor_z, Log message: motor_z
Time: 1672011848, Process: command, Log message: no update
Time: 1672011848, Process: motor_x, Log message: motor_x
Time: 1672011848, Process: motor_z, Log message: motor_z
Time: 1672011848, Process: command, Log message: no update
Time: 1672011848, Process: motor_x, Log message: motor_x
Time: 1672011848, Process: motor_z, Log message: motor_z
Time: 1672011848, Process: command, Log message: no update
Time: 1672011848, Process: motor_x, Log message: motor_x
Time: 1672011848, Process: motor_z, Log message: motor_z
Time: 1672011848, Process: command, Log message: no update
Time: 1672011848, Process: motor_x, Log message: motor_x
Time: 1672011848, Process: motor_z, Log message: motor_z
Time: 1672011848, Process: command, Log message: no update
Time: 1672011848, Process: motor_x, Log message: motor_x
Time: 1672011848, Process: motor_z, Log message: motor_z
Time: 1672011848, Process: command, Log message: no update
Time: 1672011848, Process: motor_x, Log message: motor_x1672011848
Time: 1672011848, Process: motor_z, Log message: motor_z
Time: 1672011848, Process: command, Log message: no update
Time: 1672011848, Process: motor_x, Log message: motor_x
Time: 1672011848, Process: motor_z, Log message: motor_z
Time: 1672011848, Process: command, Log message: no update
Time: 1672011848, Process: motor_z, Log message: motor_z
Time: 1672011848, Process: command, Log message: no update
Time: 1672011848, Process: motor_x, Log message: motor_x
Time: 1672011848, Process: motor_z, Log message: motor_z
Time: 1672011848, Process: command, Log message: no update
Time: 1672011848, Process: motor_x, Log message: motor_x
Time: 1672011848, Process: motor_z, Log message: motor_z
Time: 1672011849, Process: command, Log message: no update
Time: 1672011849, Process: motor_z, Log message: motor_z
Time: 1672011849, Process: command, Log message: Vz increase button pressed1672011849
Time: 1672011849, Process: motor_z, Log message: motor_z
Time: 1672011849, Process: command, Log message: no update
Time: 1672011849, Process: motor_z, Log message: motor_z
